,artist_name,track_name,release_date,genre,lyrics
27464,missio,i see you,2019,rock,depress mess want smile take hide surprise light eye think notice scar lyric commercial
27463,the cure,in between days (45 version),2019,rock,yesterday felt like yesterday want walk away choice disappear away know wrong say true couldn yesterday scar shiver like child yesterday away freeze deep inside come come walk away come come come today come come come come come know wrong say true couldn
27461,korn,you'll never find me,2019,rock,life degrade silently make spin inside head spew crave darkness bait road death break watch fall come truth hide pain inside humiliate fall crave feed doubt heart sink fade feel save apart break watch fall come truth hide pain inside lose lose lose lose lose lose lose lose come truth hide pain inside lose lose lose lose come fine fine fine fine fine fine fine fine fine
6969,gucci mane,ice (feat. gunna & lil baby),2019,pop,walk talk days days days think things forget time lover think risk days days days afraid live life song lose long days corner stone count time quarter tone friend believe want days corner stone count time quarter tone till friend confront failure aware
27460,elton john,never too late,2019,rock,late turn things recover unravel path confound doubters losers line despair tell go late late late track think sadness important weight late late fight fight late night late late break away time start fast time friends long start lyric commercial
27459,bishop briggs,champion,2019,rock,park darkest spot mind tongue crumble quickly stumble swiftly curse burn furniture million time head feelin gotta bruise gotta fall fight feelin weak baby strong little know champion champion lyric commercial
27458,the lumineers,life in the city,2019,rock,whooooawhooooa whooooawhooooa city skyscrapers rise island manhattan know dream die line broadway manhattan whoawhoa live life city whoawhoa pretty ohohoh ohohoh whoawhoa plan lyric commercial
27457,twenty one pilots,"cut my lip (40.6782°n, 73.9442° w)",2019,rock,tryin tryin decide cide tryin tryin decide cide bruise face contusions know movin bruise face contusions know movin know movin tryin tryin rust drink decide cide want blood tongue goin abuse goin tryin tryin lyric commercial
27456,vampire weekend,flower moon (feat. steve lacy),2019,rock,moon curse night things right gonna year gonna year moon sacred sign cocacola wine time disappear gonna year right place wrong time night borderline night sway moon right week curse chapter underway year light moon right place wrong time night borderline night sway moon right week curse chapter underway year light moon right place wrong time night borderline night sway moon right week curse chapter underway year light moon shift weight simple twist fate suddenly late rise tide lap gate moon curse night things right gonna year gonna year moon sacred sign cocacola wine time disappear gonna year moon curse night things right gonna year gonna year
27455,korn,cold,2019,rock,come discomforting feel like step away suffer come discomforting feel like step away suffer bait wait state concentrate gonna knock motherfucker catch wait thoughts overtake strength fucker deep insult talk shit push cold cold inside lie deep father hate endless nightmare escape lyric commercial
27454,x ambassadors,hold you down,2019,rock,ones dance light hold hold ones dance faceless crowd hold hold hold talk speak loudly smile eye look cloudy leave break door wide open matter matter low highs highs low sure ones dance light hold hold ones dance faceless crowd hold hold hold hold oohooh oohooh hold oohooh hold party ride home head shoulder night rear view mirror right matter matter low highs highs low sure ones dance light hold hold ones dance faceless crowd hold hold hold hold oohooh oohooh hold oohooh hold hold oohooh anytime fall oohooh pick oohooh yeah hold ones dance light hold hold ones dance faceless crowd hold hold hold
27453,weezer,take on me,2019,rock,talk away know today shy away come okay go needle odds end stumble away slowly learn life okay better safe sorry go things life play worry away things remember shy away come go go
27452,foster the people,worst nites,2019,rock,worst nights best time coast steal shuteye worst nights good kind high life filter lofi start dark chase thoughts cruise echo join vultures eat paradise get tilt yeah nice goodbye hello fade snow worst nights best time coast steal shuteye worst nights good kind high life filter lofi lyric commercial
27451,skillet,anchor,2019,rock,driftin beneath horizon body weak tryin shore fallin short need wave wave sinkin unto promise clingin strong belong holdin anchor steady steady anchor keepin feet grind angry oceans break wave anchor steady steady come steady steady tire fightin fear hidin give breath tell rest leave hear callin pullin shame face rain anchor steady steady anchor keepin feet grind angry oceans break wave anchor steady steady come steady steady wanna know drown anchor steady steady wanna anchor keepin feet grind know drown angry oceans break wave anchor steady steady come steady steady
6968,ariana grande,make up,2019,pop,like fuck cause screamin wanna break know bout yeaheheh head ruin makeup yeaheheh yeaheheh head ruin makeup yeaheheh energy attitude coincide stayin tonight bring right sorryinabox pop surprise surprise yeaheheh head ruin makeup yeaheheh yeaheheh head ruin makeup yeaheheh promise kiss lips stick shut argument eyeliner look highlight life like fenty beauty know yeaheheh head ruin makeup yeaheheh yeaheheh head ruin makeup yeaheheh stay cause like mood vibe look match attitude dream dream right right work time yeaheheh head ruin makeup yeaheheh head ruin makeup yeaheheh head ruin makeup yeaheheh ahead ruin makeup yeahyeah yeahyeah yeahyeah yeahyeah yeahyeah yeahyeah yeahyeah yeahyeah uhhuh
6970,drake,draft day,2019,pop,watch watch look look watch watch yeah look look yeah draft manziel years later draft wiggins fuck bitch stay winnin know know yeah suit tie yellin guy know know know laugh stop darkest probably gettin better live shit aside sure people get brunch qatar royals know real niggas fall loyal eggin gonna crack prove hardboiled night try oyster growin quick know shit singin song know spit manifest know write purpose know shittin past follow move realize leave shit pick like rapper yeah offense cause know nigga focus make record gettin bigger hit miss marry folk tell suite cause comin home hear talk crazy know shit sound snap booth body know somalis wallahi donuts coffee lobby gotta tell chill sprite payroll live okay go play like roids canseco oakland shout think eighth flow watch paint flow hate signin deal lawyer heavy load game turn fuck happen soandso worry bout bitch fashion missin action notice missin hunger game shit district yeah mean real girl know know know sidebar leave beat fuck niggas loop lie draft manziel years later draft wiggins fuck bitch stay winnin know know yeah suit tie yellin guy know know know
27449,death cab for cutie,kids in '99,2019,rock,think bout kid think bout kid leak creek cracker spark moment go go go go house shake blast black smoke billow landscape sirens cry streets lyric commercial
6983,naomi scott,speechless (full),2019,pop,come wave mean away tide take swallow sand leave voice drown thunder start crumble shut silence quiet tremble know speechless cause breathe suffocate underestimate cause know speechless write stone rule word centuries unbend stay place better see hear story end cause start crumble come shut silence quiet tremble know speechless speechless break live unspoken cause know speechless lock cage break wing watch burn hear echo say silence wanna tremble know speechless speechless cause breathe suffocate underestimate cause know speechless know speechless speechless
6993,iggy azalea,started,2019,pop,start look start sorry fuck shit start hatin drip start look start sorry fuck shit start hatin drip bitch lookin lookin mean rude blowin like fuckin balloon tell space like moon know best depress gettin check girl frontin like breast look good impress better address bitch look start look start sorry fuck shit start hatin drip start look start sorry fuck shit start hatin drip hate hate bitch bitin rabies want long tryna talkin shady bitch look crazy pushin daisies watch spend like vegas yeah house sittin acres acres see neighbor durag wavy goddamn start look start sorry fuck shit start hatin drip start look start sorry fuck shit start hatin drip know fine okay yeah dime okay outta line okay okay like giant okay waste wine waste time okay outta line okay goin okay know temper shorter vine okay mama line okay like mufasa lyin okay okay start look start sorry fuck shit start hatin drip start look start sorry fuck shit start hatin drip
6992,quality control,dead man walking,2019,pop,buddha bless beat bitch motherfucking sack bring cash self product look like fuckin millionaire mean skrrt skrrt bitch street believe motherfucking friends shoot nigga shoot bitch like cupid damn damn nigga cross mother stupid yeah dead walk drop tape posin grand skrrtin bitch booty twerkin flockin stockholm stalk twerkin sidekick like moan neighbor come aknockin time nigga sweat nigga joggin advice gotta clock fendi bentleys white green ferrari like supreme bitch meat lover team cross know mean dead walk drop tape posin grand skrrtin bitch booty twerkin flockin stockholm stalk
6991,jonas brothers,strangers,2019,pop,come look excuse away beautiful like drive closer step pull right time stand feel start touch imagine yeah right give lightning strike know right look eye say surprise strangers strangers tonight different life feel right time strangers strangers tonight strangers strangers strangers strangers strangers tonight strangers strangers strangers strangers strangers tonight like lips familiar ways explain heart know miss hold like pull right time stand feel start touch imagine yeah right give lightning strike know right look eye say surprise strangers strangers tonight different life feel right time strangers strangers tonight strangers strangers strangers strangers strangers tonight strangers strangers strangers strangers strangers tonight come look excuse away beautiful like drive closer step pull right lightning strike know right look eye say surprise strangers strangers tonight different life feel right time strangers strangers tonight strangers strangers strangers strangers strangers tonight strangers strangers strangers strangers strangers tonight
6990,jonas brothers,don't throw it away,2019,pop,picture frame pack things help week get like cause know think better sayin need space baby work throw away time little time think throw away fine forget think throw away mind messin head instead walkin away break know throw away save word late know hurt okay open time eye sleep tonight cause know think better sayin need space baby work throw away time little time think throw away fine forget think throw away mind messin head instead walkin away break know throw away timetime time throw away timetime throw away yeah timetime time throw away yeah timetime throw away throw away time little time think throw away fine forget think throw away mind messin head instead walkin away break know throw away time little time think throw away fine forget think throw away mind messin head instead walkin away break know throw away
6989,chance the rapper,let's go on the run,2019,pop,lovely sister come home mister plan kiss plan time road place greaseproof meepmeep feel like road runner feet loose superman hide cheap suit sittin waitin wanna leave swear gotta away meet water sand go leave accord plan gotta wagon bend break boyfriend people wanna know say wanna know break heart like know personality think like feel like wanna away doodoo doodoo doodoodoodoo wanna away check check check chcheck baby dippin tell whippin beat traffic whippin niggas lame think different extra advice listen baby deeper iceberg pass open pippen house giant pair timbs kick folks outta talkin unbothered unbothered farther farther farther away yeah lovely sister come home mister plan kiss plan time road place hyperventilate lyric cool like lemonade aluminum foil dinner plate matcha lattes gettin late mattress inflate walk like zombie assimilate humans simulate go close light drape come kimmel late tryna shoe cannon wear rental skate piss like urinal cake ready finna long ride home like limo date roll window hard window break toss demo tape
6988,bon iver,naeem,2019,pop,hear caste fall bass boat concrete slow concrete slow sideline bigger dash have toke berry come hear hear hear hear hear cry hear hear cry hear hear cry hear hear cry hear hear hear occupy long form mind kid bigger climb bastion pasture angry long angry long burn stand mattress laul laul patch hear hear hear hear hear cry hear hear cry hear hear hear hear cry hear cry hear hear hear hear cry hear hear hear hear hear cry hear gonna happen look away pontificate head tell pass tell young mastodons tell feel suddenly paths mama class mama long long hear hear cry hear hear cry cry hear hear cry cry cry
6987,labrinth,mount everest,2019,pop,mount everest shit mount everest shit cause world world burj dubai shit touch shit cause world world eeehhh woop woop woop wooo woop woop woop screech sweet sweet tell burn house build tell burn twice tell money know tell pick phone time tell alibi tell thing feel like need need need need need need save sweet sweet outro mount everest shit
6986,kehlani,feels,2019,pop,shit real contemplate bout feel hard think true want minute fall ceiling know right start limit catch feel baby feel know know know real feel feel know know know real feel take hard shit learn break stop baby matter see past impact grow baby slip away drift away waste waste straight straight face contemplate yeah contemplate baby want minute fall ceiling yeah know right start limit catch feel baby feel know know know real real feel feel feel know know know real feel feel feel feel feel feel feel feel feel feel feel know know know real real feel feel know know know real know real feel feel
6985,chance the rapper,the big day,2019,pop,believe luckiest alive right gonna survive crazy yeah survive think greatest life arrive survive crazy yeah survive crazy think greatest life arrive survive crazy yeah survive crazy think greatest life arrive survive crazy yeah survive fuck money shit fuck shit tell burn wanna fuck fuck fuck fuck fuck fuck yeah wanna drink fuck drink drink fuck shoot wanna shit hard lord think greatest life lord arrive survive crazy yeah survive simulation like molecule fold universe dust light maybe molecules body
6984,bazzi,paradise,2019,pop,hand body grabbin enjoyin moment cause life fast lookin forward ignorin past time laugh lookin gettin like coin goodbye haters wishin year couldn tell life livin late nights city causin hell burn bitch grind tonight right right paradise shit feel like friday nights shit feel alive feel like paradise paradise paradise know drink pour swear love right come alive shit feel like paradise feelin head ceilin yeah energy turn nights memories yeah count band workin summer know bummer insecure people turn insecure lovers drink pour night begin level fuck promise hold yeah shit shit feel inside life time livin late nights city causin hell burn bitch grind tonight right right paradise shit feel like friday nights shit feel alive baby feel like paradise paradise paradise yeah know drink pour pour swear love love right come alive shit feel like paradise
6982,zayn,a whole new world (end title),2019,pop,world shin shimmer splendid tell princess heart decide open eye wonder wonder sideways magic carpet ride world fantastic point view tell dream world dazzle place know clear world world unbelievable sight indescribable feel soar tumble freewheel endless world dare close eye thousand things hold breath get better like shoot come world horizons pursue time spare share world world world fantastic point view tell dream world turn surprise horizons pursue moment redletter time spare time spare share world world world thrill wondrous place
6971,bts,dionysus,2019,pop,sippin tippin 티르소스 grippin eatin style kill steal illest 디오니소스 티르소스 크리스탈 찰랑이는 fool dunno dunno dunno 보여줄게 아이비와 party party sing drink 태어나지 okay ready 예술가에 shoot shots 예술가에 shoot shots sippin tippin 티르소스 grippin eatin style kill steal illest stack break thyrsus 태어나네 night come mumble mumble mumble night come tumble tumble tumble studio를 bass drum go like party party sing drink 태어나지 okay ready 예술가에 shoot shots 예술가에 shoot shots 어디든지 stadium party kpop 아이돌로 artist artist artist 아이돌이든 예술가이든 과음이지 yeah 싸움이지 yeah 들어올리고 shoot ready ready hype come 예술가에 shoot shots 예술가에 shoot shots sippin tippin 티르소스 grippin eatin style kill steal illest sippin tippin 티르소스 grippin eatin style kill steal illest
6981,quality control,100 racks (offset feat. playboi carti),2019,pop,hunnit rack hunnits blow rack blow take dior dior book shoot fuck badge remember past pack house bando slap stack watch mouth hoe pass slap rack mouth rack slap slap bitch want man bout play band play bout play band come land bitch hand muhfucka dance muhfucka dance yeah livin go like go like kickin shit friends trend trend bitch benz dirty money cleanse cleanse diamonds jumpin invite friends friends type tens drip european drip diamonds lens hunnit rack hunnits blow rack blow take dior dior book shoot fuck badge remember past pack house bando slap stack mount hoe pass slap rack mouth niggas want money want clout stick couch grandma lookin proud kid worry bout drought baguettes teeth south mille wrist cost house double truck route straight mar valet trap guitar straight nawf losin mind think bitch blank hard paint perc bout faint swimmin shark tank best drown pint pour cloud shit stink hunnit rack hunnits blow rack blow take dior dior book shoot fuck badge remember past pack house bando slap stack watch mouth hoe pass slap rack mouth rack slap slap bitch want man bout play band play bout play band
6980,sia,"thunderclouds (feat. sia, diplo, and labrinth)",2019,pop,yeah yeah yeah damn suave feel good come live dirt road trailer live circle straight nerd fine keep call urkel grow hair worse sellin work flow hard time hard turf grow pain hurt tell grow spoil high school crew bruh play football everybody know month snack shack bruh tire school lunch athlete foot sellin sayin know work hard solo toleratin shit tell cold young straight south highway hood sell dope south cookout folks bounce like pogo glock whip floor board test pop gettin texts want think bread wanna cash want rappin move days ballin like mudiay stay street super crab super straight hoopin super late homies movies mane hard field claimin know groupie mane come city real dawg feel come come city real dawg feel come grindin know south ride pull sunday southside people know doin see minute hear yeah stay stay grindin
6979,bazzi,no way!,2019,pop,wraith high speed push pedal floor quit stall matter quit fuckin yeah yeah yeah yeah high school dream prize mean push pedal floor game hand bitch shit matter know things dream yeah life know fantasize bout live good fuck tens want hunnids yeah blue band comin yeah tell family finally safe wraith high speed high speed push pedal floor floor quit quit stall stall matter matter quit quit fuckin
6978,bazzi,fallin (feat. 6lack),2019,pop,hop pray feel pain save fear linger fall quicker look tell fine cause right feel like stick fade slowly fall faster yeah yeah fall faster yeah yeah days week sleep thoughts runnin deep control crashin know breakin crumb tryin drug takin control fuckin energy pullin holdin alternate reality reality hop pray feel pain save fear linger fall quicker look tell fine cause right feel like stick fade slowly fall faster fall faster need tree insecurity hold yeah feelin guess smoke blunt look pray want know gotta recenter actually yeah catch midair yeah start floatin hate choices hold grudge yeah hop pray feel pain save fear linger fall quicker look tell fine cause right feel like stick fade slowly fall faster fall faster
6977,bazzi,i.f.l.y.,2019,pop,baby look touchin slowly hold player send prayer holy naked girl summer lonely yeah hesitant spooky like skeleton intelligent bitch irrelevant ahah yeah line memories guess summer best chef recipe yeah better guess sayin guess sayin guess sayin fuckin guess sayin guess sayin guess sayin fuckin yeah better days rainy ones champion number yeah true guess sayin guess sayin guess sayin fuckin yeah chillin floor penthouse view mean thing cause money money spend bring best twin shoutout baby yeah yeah yeah write song sing need bail jail bring fail wing guess sayin guess sayin guess sayin fuckin guess sayin guess sayin guess sayin fuckin better days yeah yeah yeah rainy ones champion number yeah true guess sayin guess sayin guess sayin fuckin yeah baby yeah baby baby yeah baby yeah baby baby
6976,bazzi,humble beginnings,2019,pop,count band count digits die livin livin yeah pimp ride xzibit yeah yeah yeah humble beginnings outside detroit cold rigid catch catch slippin family home family missin family missin yeah livin good like gettin commission gettin commission yeah yeah feelin good feelin right stop smokin weed takin drag think pop whippin grand placetopace facin eviction like vision picture picture winnin floor smilin grinnin believe believe break breakin stayin believe believe break breakin countin band countin digits wasn bear wasn bear privilege lebanese blood bear ambitious bear ambitious pop tell want gotta yeah yeah yeah goin hard stayin like summer know blind hate like wonder fan brothers member camp send center keep goin like voice know destine know touch head conversations know discuss jump like seven years turn livin dream buy dream realizin nothin cause money buy designer shit wear scar damn money buy designer shit wear scar grateful wealth heart tell think start believe believe believe believe believe break breakin breakin breakin stayin believe yeah yeah believe believe believe break breakin believe
6975,dj khaled,"you stay (feat. meek mill, j balvin, lil baby & jeremih)",2019,pop,people ready rocksteady people ready rocksteady moonlight dance moonlight hand hand lonely wait people ready rocksteady people ready rocksteady moonlight dance moonlight hold hand lonely wait people ready rocksteady people ready rocksteady people ready rocksteady people ready rocksteady come come rocksteady
6974,bryce vine,la la land,2019,pop,shit live canyon mansion yeah fresh school work focus fashion pretty girl time goals baby waste time california baby waste time california yeah house party wanna waste time baby waste time california baby waste time california california shit bear hamptons hear expensive damn famous insta pics bless think centerfold need money need baby waste time california baby waste time california california yeah house party wanna waste time baby waste time california baby waste time california california nigga fuck girl look like grass greener girl snake niggas game girl prank break right time right time throwin money stripper right vibe right vibe come alive night time night time say wanna fuck say likewise like like cilantro like cilantro like mouth like blanco like blanco city come fuck fuck want code iphone straight player straight player friends say fuck straight hatin straight hatin waste time cali wastin time cause meet ball player come right yeah coachella act like remember wanna waste time baby waste time california baby waste time california
6973,blackbear,1 sided love,2019,pop,busy talk hear sayin high realize smile fakin overrate change heart breakin onesided onesided onesided time time time try work onesided onesided onesided notice perfect think idea real thing heart break busy talk hear sayin high realize smile fakin overrate change heart breakin missin change maybe change swear lettin lettin hard onesided onesided onesided notice perfect think idea real thing heart break busy talk hear sayin high realize smile fakin overrate changin heart breakin heart breakin heart breakin heart breakin heart breakin
6972,beyoncé,before i let go,2019,pop,world fuck niggas yeah clear right yeah forget know wanna sure right good time hurt yeah shame foolish wanna know wanna sure bright yeah yeah yeah know thank rise shin know nothin nothin woah pull coachella pull boot feather pull bring squad squad black black bandanas squad dussé champagne champagne damn thing damn thing dirty dirty singin dancin rain leave wanna good time turn turn kick slide twirl right drop cross legs turn clap shuffle leave glide drop drop floor floor bring clap roll roll step step step step step kick stomp step swag right surf leave work middle hurt little woah woah woah woah woah bbbefore woah woah woah woah woah bbbefore
27450,badflower,heroin,2019,rock,head agin know go road ahha ahha ahha ahha ahha mark fingerprint skin breathe perfume burn like heroin lyric commercial
27448,imagine dragons,bad liar – stripped,2019,rock,hush dear difficult year terrors prey innocent victims trust darlin trust darlin loveless year fear integrity crocodile tear trust darlin trust darlin look eye tell perfect paradise tearin seam wish escape wanna fake wish erase heart believe liar liar know know liar liar lyric commercial
6995,daniel caesar,superposition,2019,pop,irony things inspire bleed profusely need time space think breathe mean cash grow tree exist superposition life contradiction yang fluidity things reason sing understand whoa know think shit easy ride risk know actin sleazy work easy figure break resuscitate know live life vain music shit piece cake rest life state chaos know okay exist superposition life contradiction yang fluidity things reason sing understand
27410,prince,i wanna be your lover (single version),2019,rock,money repeat song baby come free want gonna money tell tell claim fame like silly game money tell mind makin time spirit rhyme money yeah showtime gonna shake hips east shake till mind best say say baby hand understand silly know money come free want gonna money yeah listen talk little hand understand silly fresh women best money neck mean heck need diehard kinda drawers heckabuff good wantcha baby baby baby money play days tire mayonnaise revolution groove worry worry baby money showtime come free wanna wrong mama heckabuff wantcha know yeah revolution groove lord worry gimme gimme vaseline slide girls know mean lord cool cool cool cool loose loose
27420,wilco,love is everywhere (beware),2019,rock,tangle wild see mean country sadness want away scene right right right right sunlight grab lake freeze flame beneath sleep riot rain right right right right things explain right right right frighten beware
27419,bastille,million pieces,2019,rock,million piece breathe hard speak cause like bitter pill blow mind make heart beat harder harder harder harder hard clown laugh drill look outside world end faster faster faster faster fast echo news ring loud echo echo sound drown echo break heart break heart million piece break heart million piece gonna break leave till morning wanna know break heart break heart million piece million piece go mean drink fuck dance right disaster want talk echo news ring loud echo echo music drown echo break heart break heart million piece break heart million piece gonna break leave till morning wanna know break heart break heart million piece million piece fear loathe mind pull pull ceiling break heart break heart million piece break heart million piece gonna break leave till morning wanna know break heart break heart million piece million piece million piece million piece
27418,killswitch engage,i am broken too,2019,rock,weight try cover mistake like break right cause break place need proof reopen wound reopen wound yeah know need proof reopen wound right place truth break reopen wound make mistake feel alive break stop numb pain away away know need need proof reopen wound wound right place truth truth cause break break break like
27417,phantogram,into happiness,2019,rock,life gold long drive fall happiness wish loneliness perfect lightning like life gold funny things roll fall happiness wish lyric commercial
27416,incubus,into the summer,2019,rock,shouldn summer pretty build spill ready overflow piss moan ash guess smite leave remember call forever shouldn summer summer like coil vine break crack wall fruit distil step line remember call forever shouldn summer remember call forever remember end blind shouldn summer shouldn summer shouldn summer summer remember call forever shouldn summer remember call forever remember end blind
27415,killswitch engage,the crownless king,2019,rock,abolition illusion monuments hypocrisy burn burn grind destroy useless tear reminders crownless impostor claim authority indignation close choose save cast willingness crown virtuous defy depths descend defy death defend defy rule come defy crownless penitent pray downfall reign warrior soul shall break hold constraints suffer defy depths descend defy death defend defy rule come defy crownless storied confusion distort dilute come undo balance shift framework break yeah framework break depths descend crownless defy defy defy defy
27414,half•alive,breakfast,2019,rock,carpet wrench carbonate emotion tear rise flee wall yeah sure surround strength lower gate humble embrace venerable place open tear tremble step okay fret safe place heart second let guard hold close strength open break expose flee mountains sure surround strength open space humble place venerable place open tear tremble step okay fret safe place heart second open tear tremble step okay fret safe place heart second
27413,weezer,everybody wants to rule the world,2019,rock,welcome life turn sleep act best behavior turn mother nature everybody want rule world design remorse help decide help freedom pleasure last forever everybody want rule world room light hold hand wall come tumble right fade everybody want rule world stand indecision marry lack vision everybody want rule world need headline believe everybody want rule world freedom pleasure last forever everybody want rule world
27412,a-ha,move to memphis,2019,rock,walk teach better bring tell memphis go memphis follow highway doorway go memphis walk away say better stick stay tell memphis follow highway doorway go memphis go go go memphis go go go memphis memphis follow highway doorway go memphis follow highway doorway go memphis follow highway doorway go memphis memphis baby
27411,prince,gotta broken heart again,2019,rock,break heart supposedtobe friend steal lady away blue break heart money spend spend long distance phone beg come home yeah yeah yeah matter stop think little things say things baby head break heart yeah time feel like go away leave
27409,the lumineers,donna,2019,rock,word save picture hair braid wallet cemetery tell daughter ordinary hate junior husband love computers mother eldest seven children blame live lyric commercial
27422,killswitch engage,as sure as the sun will rise,2019,rock,hand certainty fulfill destiny soul light light course vein like river rain healer seeker true believer summon smite deceivers peril face overcome treacherous days overcome stand sure rise word fee humanity sacrifice demonstrate willingness hate strength healer seeker true believer summon smite deceivers peril face overcome treacherous days overcome stand sure rise give souls fat tonight brave live life pull darkness reborn light peril face overcome treacherous days overcome stand sure rise overcome sure rise
27408,killswitch engage,the signal fire,2019,rock,yeah follow endless maze separation define break lead astray choose renew amnesty break hopeless state fat revolt wake lead place hide strength realign signal alight give fight sight signal alight walk mile shoe determine lose lose disconnection common reality lose world hypocrisy hide strength realign signal alight give fight sight signal alight alight beacon deliver guide away decay humanity yeah hide strength realign signal alight give fight sight signal alight alight alight fight alight signal alight
27407,grandson,stigmata,2019,rock,mindstate kill mindstate kill need violence bust silence real traumatize think hide feel truth alive underground live wifi lie sell black hawk fly head right hill hole head call suicide wake hole hand crucify decide wanna ride stop unify wake hole hand crucify stigmata stigmata lyric commercial
27406,two door cinema club,once,2019,rock,away sugar dance tongue grow stay young get stick paper magazines luck strangers live dream lifetime away soon break wave live company play wall suddenly miss keep soon gonna know certain lifetime away soon break wave live break wave lifetime away soon break wave live break wave
27405,tenth avenue north,greater than all my regrets,2019,rock,past come haunt tell remind go wrong sin lay lord lord fall fail trust greater bend break trust hand hold greater regret greater regret greater regret father know break heart lyric commercial
